Words,Frequency
"('karar', 'veril')",13509
"('kanun', 'madde')",10072
"('temyiz', 'itiraz')",7311
"('bölge', 'adliye')",7148
"('adliye', 'mahkeme')",6235
"('veril', 'hüküm')",5795
"('hüküm', 'temyiz')",5527
"('birlik', 'karar')",4871
"('verilen', 'hüküm')",4797
"('karar', 'verilme')",4681
"('oybirliği', 'karar')",4617
"('mahkeme', 'verilen')",4384
"('temyiz', 'edilmek')",4224
"('mahkeme', 'karar')",4202
"('cmk', 'madde')",3879
"('yasa', 'madde')",3864
"('vekil', 'temyiz')",3707
"('tarih', 'birlik')",3704
"('tck', 'madde')",3578
"('suç', 'tarih')",3461
"('esas', 'karar')",3339
"('görüşülüp', 'düşünül')",3066
"('hüküm', 'mahkumiyet')",2841
"('ceza', 'mahkemesi')",2771
"('vekil', 'taraf')",2736
"('5271', 'cmk')",2628
"('hüküm', 'onanma')",2606
"('yerel', 'mahkeme')",2592
"('kanun', 'uygun')",2571
"('verilen', 'karar')",2571
"('hukuk', 'daire')",2558
"('yürürlük', 'giren')",2550
"('tarih', 'oybirliği')",2445
"('istinaf', 'başvuru')",2408
"('dava', 'kabul')",2357
"('sürüklenen', 'çocuk')",2344
"('dosya', 'incelen')",2290
"('resmi', 'gazete')",2270
"('bozma', 'gerektir')",2264
"('suç', 'sürüklenen')",2233
"('para', 'ceza')",2225
"('hapis', 'ceza')",2196
"('iptal', 'karar')",2098
"('esas', 'redd')",2092
"('temyiz', 'istek')",1994
"('temyiz', 'istem')",1986
"('incelenerek', 'düşünül')",1977
"('edilmek', 'başvuru')",1974
"('karar', 'verildik')",1953
"('geçici', 'madde')",1911
"('görülmüş', 'olduk')",1890
"('temyiz', 'talep')",1851
"('mahkumiyet', 'hüküm')",1816
"('dosya', 'incelenerek')",1815
"('dosya', 'kapsam')",1799
"('kovuşturma', 'evre')",1785
"('5320', 'kanun')",1781
"('itiraz', 'redd')",1772
"('süre', 'karar')",1751
"('karar', 'nitelik')",1750
"('başvuru', 'süre')",1740
"('adli', 'para')",1732
"('taraf', 'temyiz')",1713
"('tarih', 'dosya')",1648
"('olduk', 'hüküm')",1644
"('ceza', 'daire')",1643
"('madde', 'hüküm')",1635
"('görülmeyen', 'temyiz')",1631
"('dava', 'konu')",1605
"('yürürlük', 'bulunan')",1600
"('anayasa', 'mahkemesi')",1597
"('müdafii', 'temyiz')",1560
"('tarih', 'yürürlük')",1557
"('onanma', 'tarih')",1545
"('tetkik', 'hakim')",1530
"('1412', 'madde')",1526
"('hakim', 'taraf')",1526
"('madde', 'değişik')",1525
"('dava', 'dosya')",1520
"('süre', 'iç')",1513
"('evre', 'geçil')",1511
"('itiraz', 'ret')",1507
"('veril', 'taraf')",1503
"('5237', 'tck')",1502
"('iş', 'esas')",1500
"('uygun', 'hüküm')",1493
"('istek', 'redd')",1493
"('tutanak', 'belge')",1465
"('madde', 'uygulanma')",1465
"('uygulanma', 'gereken')",1449
"('temyiz', 'sebep')",1446
"('gazete', 'yürürlük')",1430
"('taraf', 'düzenlenen')",1430
"('temyiz', 'dilekçe')",1420
"('düzenlenen', 'rapor')",1412
"('hüküm', 'bozulma')",1411
"('kabul', 'karar')",1410
"('7188', 'kanun')",1407
"('suç', 'kurulan')",1394
"('taraf', 'görülen')",1391
