Bigram,jaccard
"('125', '151')",1.0
"('müessese', 'uygulanabilme')",1.0
"('sorul', 'ekildik')",1.0
"('sk', 'md')",1.0
"('sincan', 'noterlik')",1.0
"('seviye', 'getirildik')",1.0
"('nispi', 'vekalet')",1.0
"('1412', 'cmuk')",1.0
"('mükerrirlere', 'özgü')",1.0
"('mezkur', 'ihbarname')",1.0
"('kayden', 'malik')",1.0
"('metal', 'aş')",1.0
"('menkul', 'almak')",1.0
"('mahkum', 'ol')",1.0
"('lüzum', 'ihbar')",1.0
"('leh', 'aleyh')",1.0
"('kurum', 'tam')",1.0
"('kot', 'fark')",1.0
"('sürülen', 'düşünce')",1.0
"('tamamen', 'giderilme')",1.0
"('tasfiye', 'kaynaklanan')",1.0
"('tebliğnamede', 'sürülen')",1.0
"('şeklindeki', 'düzenleme')",1.0
"('ücret', 'taktir')",1.0
"('özgü', 'infaz')",1.0
"('özellik', 'sahip')",1.0
"('ödenme', 'isten')",1.0
"('yasal', 'faiz')",1.0
"('yapabilecek', 'yönündeki')",1.0
"('verim', 'değer')",1.0
"('verilemeyecek', 'düzenlen')",1.0
"('verilememe', 'amaçlan')",1.0
"('veri', 'getirtilme')",1.0
"('vekalet', 'ücret')",1.0
"('vazgeçildik', 'anlam')",1.0
"('tutanak', 'münderecat')",1.0
"('temas', 'ettik')",1.0
"('kaynaklanan', 'alacak')",1.0
"('münavebeli', 'ekim')",1.0
"('kalmak', 'kay')",1.0
"('az', 'süreli')",1.0
"('anlam', 'geldik')",1.0
"('almak', 'vazgeçtik')",1.0
"('aleyh', 'usuli')",1.0
"('ahmet', 'demir')",1.0
"('97', '99')",1.0
"('96', '97')",1.0
"('87', '125')",1.0
"('710', 'parsel')",1.0
"('454', 'üncü')",1.0
"('işlenip', 'işlenmedik')",1.0
"('427', '454')",1.0
"('38219', 'yevmiye')",1.0
"('231', 'eş')",1.0
"('2009', 'kurban')",1.0
"('2004', '96')",1.0
"('arsa', 'değerlendirildik')",1.0
"('43', '58')",1.0
"('belirlen', 'sonraki')",1.0
"('elatma', 'önlenme')",1.0
"('isteyen', 'dayanan')",1.0
"('istanbul', 'anadol')",1.0
"('ihtiyaç', 'büyük')",1.0
"('ihbar', 'olunduk')",1.0
"('hammadde', 'ihtiyaç')",1.0
"('genel', 'kurulu')",1.0
"('gider', 'maktu')",1.0
"('ekim', 'nadas')",1.0
"('ekildik', 'bildirilen')",1.0
"('edici', 'özellik')",1.0
"('dekar', 'verim')",1.0
"('bulunulabilecek', 'peş')",1.0
"('birim', 'fiyat')",1.0
"('beton', 'dökmek')",1.0
"('beraat', 'mahalli')",1.0
"('bölge', 'adliye')",0.9090909090909091
"('izmir', 'aile')",0.875
"('görev', 'başlama')",0.8
"('olunduk', 'görüşülüp')",0.75
"('zarar', 'verme')",0.75
"('denetim', 'süre')",0.75
"('dayanan', 'tebliğnamede')",0.75
"('adli', 'para')",0.7333333333333333
"('basit', 'yaralama')",0.7333333333333333
"('getirme', 'bedel')",0.7142857142857143
"('62', '86')",0.6666666666666666
"('bent', 'gösterilen')",0.6666666666666666
"('istihkak', 'iddia')",0.6521739130434783
"('yarar', 'bozma')",0.6111111111111112
"('infaz', 'rejim')",0.6
"('ilişki', 'nitelendirme')",0.6
"('türk', 'lira')",0.5714285714285714
"('00', 'türk')",0.5
"('86', '87')",0.5
"('amaçlan', 'işledik')",0.5
"('baş', 'yeterli')",0.5
"('başla', 'incelenen')",0.5
"('borç', 'kapatabilmek')",0.5
"('borç', 'makine')",0.5
"('değerlendirilip', 'oluş')",0.5
