Bigram,poisson_stirling
"('bölge', 'adliye')",42169.78482959283
"('adliye', 'mahkemesi')",25324.677627387224
"('yürürlüğe', 'giren')",19133.134791828703
"('suça', 'sürüklenen')",16481.75970205528
"('birliğiyle', 'karar')",16056.117127456548
"('kanuna', 'uygun')",14565.712429828493
"('tarihinde', 'birliğiyle')",14422.849637275025
"('mahkemece', 'verilen')",12869.187804929277
"('oybirliğiyle', 'karar')",12737.945474091972
"('yerel', 'mahkemece')",12609.28319668583
"('sürüklenen', 'çocuk')",11706.269768128359
"('adli', 'para')",11554.792176797879
"('suç', 'tarihine')",11263.806644347964
"('itibarla', 'görülmüş')",10553.948398242199
"('yürürlükte', 'bulunan')",10480.47779012641
"('tetkik', 'hakimi')",10471.198842638216
"('taraflar', 'görülen')",10210.770599049458
"('gerekçe', 'içeriğine')",10085.951585309735
"('istinaf', 'başvurusunun')",9875.379900604412
"('vicdani', 'oluştuğu')",9865.705164250576
"('nedenleri', 'işin')",9688.840240907197
"('1412', 'maddesi')",9484.129239305641
"('reddi', 'nedenleri')",9393.92805680029
"('karar', 'hüküm')",9376.210431130337
"('duruşma', 'sürecini')",9238.271575690138
"('belgeler', 'gerekçe')",9137.182949288308
"('oluştuğu', 'duruşma')",8983.765850438345
"('gününde', 'oybirliğiyle')",8976.583921301328
"('resmi', 'yürürlüğe')",8857.589595615507
"('kanunun', 'maddesi')",8749.922018456851
"('sürecini', 'belgeler')",8543.204431299715
"('rapor', 'dinlendikten')",8492.839052765197
"('işin', 'vicdani')",8419.053725081201
"('basit', 'usulü')",8346.716393260347
"('tarihine', 'dosya')",8121.846331224657
"('verilen', 'hüküm')",8070.5939407082205
"('isteğinin', 'reddi')",8060.132598068957
"('niteliği', 'suç')",7987.775130285089
"('hakimi', 'düzenlenen')",7952.786881751708
"('düzenlenen', 'rapor')",7927.228737840166
"('mahalli', 'mahkemece')",7831.221960910705
"('reddine', 'karar')",7684.908478577759
"('karar', 'verilmesi')",7516.949371214765
"('5320', 'maddesi')",7436.395993116458
"('tebliğnameye', 'uygun')",7339.313629328956
"('suçundan', 'kurulan')",7305.584083726342
"('karar', 'taraflar')",7117.575154338645
"('eklenen', 'geçici')",7031.762588208092
"('oybirliği', 'karar')",6992.537842346149
"('vekilinin', 'temyiz')",6794.420404528868
"('temyiz', 'isteğinin')",6743.466803588246
"('delillerin', 'takdirinde')",6625.505642507887
"('karar', 'düzeltme')",6541.124117757412
"('hüküm', 'mahkumiyet')",6526.718748260928
"('anayasa', 'mahkemesinin')",6505.816590882554
"('temyiz', 'başvurunun')",6499.735292513784
"('esastan', 'reddine')",6375.141797361981
"('görülmeyen', 'temyiz')",6309.861151765403
"('süresi', 'niteliği')",6269.6562930405025
"('dosya', 'incelenerek')",6074.093406425056
"('başvurunun', 'süresi')",6055.914831452523
"('tarihinde', 'oybirliğiyle')",6017.725998900275
"('dava', 'konusu')",5980.217395535528
"('tarihinde', 'oybirliği')",5957.678702781951
"('temyiz', 'edilmekle')",5935.939365161617
"('hukuki', 'durumunun')",5896.2726779000695
"('vekili', 'temyiz')",5791.661839649674
"('dinlendikten', 'dosya')",5695.860463643798
"('gününde', 'birliğiyle')",5691.209459042792
"('öncesi', 'aşamadan')",5626.48387358478
"('aşamalarda', 'sürülen')",5571.373636214863
"('dava', 'tetkik')",5529.5068590796345
"('maddesiyle', 'değişik')",5516.780566410858
"('verilen', 'hükümler')",5496.150378206068
"('temyiz', 'reddiyle')",5486.296662086002
"('tarihinde', 'birliği')",5426.431535429156
"('mahkemesi', 'hukuk')",5416.553910000997
"('temyizen', 'incelenmesi')",5392.840010434906
"('adliye', 'mahkemesince')",5374.368847582259
"('değerlendirilmesinde', 'zorunluluk')",5323.263392310152
"('yasaya', 'uygun')",5174.885853055929
"('bulunan', '1412')",5087.240378112102
"('görülmüş', 'olduğundan')",5081.486049320589
"('söz', 'konusu')",5061.747312480343
"('başvurusunun', 'esastan')",5052.236974572404
"('reddiyle', 'kanuna')",5048.901064241823
"('sürdürülüp', 'mahkemesine')",5046.304827726233
"('tarihli', 'resmi')",4989.892511484031
"('hüküm', 'temyiz')",4988.536625608555
"('takdirinde', 'isabetsizlik')",4922.535089929355
"('başlayarak', 'sürdürülüp')",4865.147771734097
"('müdafiinin', 'temyiz')",4861.107979479663
"('aşamadan', 'başlayarak')",4842.451320047587
"('sürülen', 'iddia')",4830.498245520908
"('denetimini', 'sağlayacak')",4789.655700279993
"('mahkumiyet', 'mahalli')",4773.672279267604
"('görülen', 'dava')",4746.875874720953
"('5607', 'maddesine')",4725.674483893103
"('maddesine', 'eklenen')",4721.405892266753
"('mahkemesince', 'verilen')",4710.733407508525
