Bigram,t
"('bölge', 'adliye')",81.14251511547094
"('adliye', 'mahkemesi')",65.55238496123766
"('birliğiyle', 'karar')",59.696472530546
"('karar', 'hüküm')",55.072439082391654
"('oybirliğiyle', 'karar')",53.17900990405088
"('mahkemece', 'verilen')",51.90907898297813
"('tarihinde', 'birliğiyle')",51.415607910329356
"('kanuna', 'uygun')",50.1243709100778
"('yürürlüğe', 'giren')",50.05022536513221
"('suça', 'sürüklenen')",46.66012190731715
"('verilen', 'hüküm')",46.34016670182856
"('kanunun', 'maddesi')",45.64200609327068
"('yerel', 'mahkemece')",44.9583221411197
"('reddine', 'karar')",44.82138737431037
"('1412', 'maddesi')",44.686327939024864
"('hüküm', 'temyiz')",44.078666396203666
"('vekilinin', 'temyiz')",43.6990852400052
"('karar', 'verilmesi')",42.544139413041144
"('suç', 'tarihine')",42.48925908737516
"('karar', 'taraflar')",42.434328109319786
"('vekili', 'temyiz')",41.6426451455557
"('5320', 'maddesi')",40.743016719816964
"('temyiz', 'isteğinin')",40.48821178301827
"('temyiz', 'başvurunun')",40.321393578410294
"('adli', 'para')",39.8298722672697
"('tarihine', 'dosya')",39.71314524601734
"('oybirliği', 'karar')",39.40227357531247
"('karar', 'düzeltme')",39.14259902728887
"('görülmeyen', 'temyiz')",38.983967517749164
"('yürürlükte', 'bulunan')",38.798869506463184
"('sürüklenen', 'çocuk')",38.78113258406449
"('hüküm', 'mahkumiyet')",38.52301159922566
"('temyiz', 'reddiyle')",37.56300178695776
"('gününde', 'oybirliğiyle')",37.30987305062898
"('reddi', 'nedenleri')",37.186995593728845
"('taraflar', 'görülen')",37.16811349448856
"('istinaf', 'başvurusunun')",37.134367074972005
"('itibarla', 'görülmüş')",37.10796627639691
"('nedenleri', 'işin')",37.06976589827046
"('temyiz', 'edilmekle')",36.97433036929152
"('resmi', 'yürürlüğe')",36.15832127837757
"('niteliği', 'suç')",36.04509466522256
"('gerekçe', 'içeriğine')",35.93175287987448
"('tebliğnameye', 'uygun')",35.68275078414013
"('müdafiinin', 'temyiz')",35.55207644235935
"('tarihinde', 'oybirliğiyle')",35.42099695096836
"('tetkik', 'hakimi')",35.37145078842671
"('belgeler', 'gerekçe')",35.052174701314705
"('5271', 'maddesi')",34.9279854811932
"('temyiz', 'talebinin')",34.7541214889363
"('mahalli', 'mahkemece')",34.683908727114826
"('duruşma', 'sürecini')",34.68359345178075
"('kabulüne', 'karar')",34.58961810086269
"('dosya', 'incelenerek')",34.586228061472504
"('verilen', 'hükümler')",34.551468597485275
"('mahkemesi', 'hukuk')",34.53667021589215
"('vicdani', 'oluştuğu')",34.512225703813805
"('oluştuğu', 'duruşma')",34.46044200979138
"('isteğinin', 'reddi')",34.44887972910137
"('temyiz', 'itibarla')",34.398839384317995
"('esas', 'karar')",34.02046164480276
"('işin', 'vicdani')",33.905015830329575
"('dava', 'konusu')",33.85190610792007
"('mahkemesi', 'ceza')",33.78829154037477
"('suçundan', 'kurulan')",33.71802754636807
"('basit', 'usulü')",33.61544116982828
"('düzenlenen', 'rapor')",33.39984494077193
"('tarihinde', 'oybirliği')",33.2203492839712
"('hükümler', 'temyiz')",33.1974285879548
"('temyiz', 'isteminin')",33.07043274945833
"('sürecini', 'belgeler')",33.04605005272643
"('hakimi', 'düzenlenen')",32.6604916485386
"('ceza', 'mahkemesinin')",32.52203565943329
"('birliği', 'karar')",32.48641954377021
"('esastan', 'reddine')",32.476039841369314
"('anayasa', 'mahkemesinin')",32.26905577779128
"('rapor', 'dinlendikten')",31.887688032004334
"('yasaya', 'uygun')",31.790778934712737
"('uygun', 'hükmün')",31.69294014763709
"('eklenen', 'geçici')",31.683155450476356
"('gününde', 'birliğiyle')",31.61774252183732
"('dinlendikten', 'dosya')",31.604575989726634
"('dava', 'tetkik')",31.522386992291796
"('süresi', 'niteliği')",31.298947830072276
"('başvurunun', 'süresi')",31.2967468681219
"('adliye', 'mahkemesince')",31.284152173084046
"('mahkemesince', 'verilen')",31.207309960492886
"('tarihinde', 'birliği')",31.02570043533765
"('5237', 'maddesi')",30.85976995777435
"('tarihli', 'resmi')",30.8177494869311
"('karar', 'hükümler')",30.215528789225946
"('bulunan', '1412')",29.822985379152858
"('sonucunda', 'verilen')",29.594646325110546
"('dava', 'sonucunda')",29.487998891635858
"('maddesi', 'yürürlükte')",29.437421217064585
"('görülen', 'dava')",29.432894415575344
"('asliye', 'ceza')",29.232248355854455
"('reddiyle', 'kanuna')",28.869652318494
"('dosya', 'konuşulup')",28.69803355020054
"('temyiz', 'nedenleri')",28.482189981462376
