Bigram,likelihood_ratio
"('bölge', 'adliye')",77805.13002790905
"('adliye', 'mahkemesi')",39969.60774007608
"('yürürlüğe', 'giren')",32833.48732993147
"('birliğiyle', 'karar')",27945.70809594163
"('suça', 'sürüklenen')",27364.26384469778
"('kanuna', 'uygun')",22155.843584141658
"('oybirliğiyle', 'karar')",22048.888995870624
"('tarihinde', 'birliğiyle')",21861.623425475776
"('yerel', 'mahkemece')",19206.835530444107
"('sürüklenen', 'çocuk')",18718.883175316238
"('mahkemece', 'verilen')",18494.196064972675
"('adli', 'para')",17789.783006883736
"('tetkik', 'hakimi')",17347.14297617635
"('suç', 'tarihine')",16953.79660704865
"('itibarla', 'görülmüş')",16400.120106915452
"('yürürlükte', 'bulunan')",16168.747798217899
"('taraflar', 'görülen')",15929.893319999095
"('vicdani', 'oluştuğu')",15887.599528273819
"('gerekçe', 'içeriğine')",15704.504082491148
"('istinaf', 'başvurusunun')",15289.501288466856
"('duruşma', 'sürecini')",14881.374953912142
"('nedenleri', 'işin')",14516.725606732074
"('1412', 'maddesi')",14436.672672992336
"('oluştuğu', 'duruşma')",14097.379307818785
"('reddi', 'nedenleri')",13928.014037190109
"('belgeler', 'gerekçe')",13863.469016000041
"('rapor', 'dinlendikten')",13657.758678399981
"('sürecini', 'belgeler')",13381.609666176937
"('gününde', 'oybirliğiyle')",13101.010552193038
"('resmi', 'yürürlüğe')",13046.864329174208
"('karar', 'hüküm')",12865.411489198643
"('işin', 'vicdani')",12667.259293354982
"('basit', 'usulü')",12514.219589282398
"('kanunun', 'maddesi')",12457.036141294273
"('hakimi', 'düzenlenen')",12233.651401416802
"('mahalli', 'mahkemece')",12231.968088678075
"('oybirliği', 'karar')",12024.057891942532
"('tarihine', 'dosya')",11871.401258163938
"('isteğinin', 'reddi')",11840.387180001162
"('düzenlenen', 'rapor')",11806.235930526145
"('niteliği', 'suç')",11775.030779887727
"('karar', 'verilmesi')",11505.29457955259
"('reddine', 'karar')",11183.145920824805
"('verilen', 'hüküm')",10937.130852102055
"('tebliğnameye', 'uygun')",10884.57671496488
"('5320', 'maddesi')",10858.177962700911
"('temyiz', 'isteğinin')",10607.819659153087
"('suçundan', 'kurulan')",10574.818763658885
"('karar', 'taraflar')",10527.390737947044
"('delillerin', 'takdirinde')",10479.477310373017
"('eklenen', 'geçici')",10267.89787249019
"('karar', 'düzeltme')",10253.270906801587
"('temyiz', 'edilmekle')",10180.12656376927
"('görülmeyen', 'temyiz')",10020.21631522014
"('temyiz', 'başvurunun')",9959.913544187923
"('vekilinin', 'temyiz')",9746.29946812738
"('anayasa', 'mahkemesinin')",9296.5778437117
"('öncesi', 'aşamadan')",9149.678399905308
"('dinlendikten', 'dosya')",9089.092825054782
"('hukuki', 'durumunun')",9064.47249327155
"('esastan', 'reddine')",9030.81387634767
"('süresi', 'niteliği')",8995.106620030385
"('hüküm', 'mahkumiyet')",8992.782149663657
"('tarihinde', 'oybirliği')",8776.023142548944
"('dosya', 'incelenerek')",8768.486095174045
"('aşamalarda', 'sürülen')",8737.159138993738
"('başvurunun', 'süresi')",8594.492525166575
"('tarihinde', 'oybirliğiyle')",8418.558049496647
"('dava', 'konusu')",8404.18691479643
"('değerlendirilmesinde', 'zorunluluk')",8332.683204331059
"('tarihinde', 'birliği')",8260.658892705846
"('temyiz', 'reddiyle')",8225.7681390749
"('maddesiyle', 'değişik')",8115.965527414412
"('temyizen', 'incelenmesi')",8106.326118899433
"('vekili', 'temyiz')",8102.074296112143
"('sürdürülüp', 'mahkemesine')",8011.523666291713
"('denetimini', 'sağlayacak')",8009.805967463201
"('dava', 'tetkik')",7946.513135897791
"('gününde', 'birliğiyle')",7934.819073528435
"('başlayarak', 'sürdürülüp')",7819.823388347259
"('aşamadan', 'başlayarak')",7752.898928883446
"('eksiksiz', 'özleri')",7732.589001859269
"('birliği', 'karar')",7647.464716772902
"('verilen', 'hükümler')",7620.0945035911545
"('adliye', 'mahkemesince')",7584.864449415409
"('söz', 'konusu')",7514.384429520449
"('takdirinde', 'isabetsizlik')",7355.977522445745
"('mahkemesi', 'hukuk')",7344.462723816973
"('avrupa', 'i̇nsan')",7339.177053137527
"('çelişmeyen', 'verilere')",7265.160343714992
"('görülmüş', 'olduğundan')",7262.068593614359
"('yasaya', 'uygun')",7233.975926309653
"('müdafiinin', 'temyiz')",7230.0048485325915
"('başvurusunun', 'esastan')",7202.890568270543
"('dosyalarda', 'muhakeme')",7170.677395478224
"('dosya', 'içerisindeki')",7155.113794636059
"('sürülen', 'iddia')",7125.404349212285
"('temyi̇z', 'davasinin')",7080.49035334576
"('reddiyle', 'kanuna')",7079.937566245497
"('bulunan', '1412')",7073.319476154455
