Trigram,poisson_stirling
"('bölge', 'adliye', 'mahkeme')",77544.29887953265
"('birlik', 'karar', 'veril')",49662.526664780715
"('oybirliği', 'karar', 'veril')",48074.36972585115
"('karar', 'veril', 'hüküm')",43760.38782526139
"('tarih', 'birlik', 'karar')",34034.64608901576
"('hüküm', 'temyiz', 'edilmek')",31986.901354583275
"('suç', 'sürüklenen', 'çocuk')",31304.504688614943
"('verilen', 'hüküm', 'temyiz')",28284.395176821945
"('mahkeme', 'verilen', 'hüküm')",27282.80626398766
"('kovuşturma', 'evre', 'geçil')",25136.978976625767
"('adli', 'para', 'ceza')",23781.669100151725
"('veril', 'hüküm', 'mahkumiyet')",23659.746924411986
"('resmi', 'gazete', 'yürürlük')",22361.91455632471
"('temyiz', 'edilmek', 'başvuru')",22137.435867696066
"('gazete', 'yürürlük', 'giren')",21978.887553339162
"('dosya', 'incelenerek', 'düşünül')",21968.24231395173
"('tarih', 'oybirliği', 'karar')",21704.896657012985
"('oluştuk', 'duruşma', 'süreç')",20727.43571746088
"('tetkik', 'hakim', 'taraf')",20581.985235214135
"('vicdani', 'oluştuk', 'duruşma')",20194.93910865738
"('geçil', 'vicdani', 'oluştuk')",20049.273110905142
"('duruşma', 'süreç', 'tutanak')",19866.164655105942
"('süreç', 'tutanak', 'belge')",19598.252285171722
"('5271', 'cmk', 'madde')",19574.176766991175
"('itibar', 'görülmüş', 'olduk')",19540.3973648965
"('hakim', 'taraf', 'düzenlenen')",18039.581857860863
"('iş', 'esas', 'geçil')",17709.694209101875
"('tutanak', 'belge', 'gerekçe')",17540.72197274589
"('taraf', 'düzenlenen', 'rapor')",17449.798740372913
"('belge', 'gerekçe', 'içerik')",17311.427055254986
"('düzenlenen', 'rapor', 'dinlendik')",16814.64288734565
"('edilmek', 'başvuru', 'süre')",16792.43057334324
"('esas', 'geçil', 'vicdani')",16730.60171123484
"('süre', 'karar', 'nitelik')",16518.01383291384
"('yerel', 'mahkeme', 'verilen')",16355.319571226102
"('temyiz', 'itiraz', 'redd')",16198.720126232743
"('başvuru', 'süre', 'karar')",15782.549155326658
"('taraf', 'görülen', 'dava')",15700.377678985587
"('redd', 'iş', 'esas')",15426.691427379028
"('görülmüş', 'olduk', 'hüküm')",15174.545544634182
"('gerekçe', 'içerik', 'inceleme')",15020.827804870914
"('5320', 'kanun', 'madde')",14971.746856544754
"('asliye', 'ceza', 'mahkemesi')",14710.012520414799
"('temyiz', 'itiraz', 'ret')",14371.308308845195
"('istek', 'redd', 'iş')",14302.353037751447
"('tarihli', 'resmi', 'gazete')",14278.146128493807
"('yürürlük', 'bulunan', '1412')",14020.964513160347
"('itiraz', 'itibar', 'görülmüş')",13977.788629747434
"('rapor', 'dinlendik', 'dosya')",13937.9834517311
"('mahalli', 'mahkeme', 'verilen')",13797.485087637288
"('temyiz', 'itiraz', 'itibar')",13770.589163634797
"('dosya', 'tetkik', 'hakim')",13666.858226876364
"('edilmek', 'dosya', 'incelenerek')",13600.717668364783
"('mahkeme', 'hukuk', 'daire')",13499.287263910855
"('temyiz', 'istek', 'redd')",13392.8210646362
"('adliye', 'mahkeme', 'hukuk')",13297.704200345888
"('incelen', 'konuşulup', 'düşünül')",13272.279721032088
"('görülmeyen', 'temyiz', 'itiraz')",13196.175644384626
"('7188', 'kanun', 'madde')",12885.287547581249
"('eklenen', 'geçici', 'madde')",12688.778983246119
"('kanun', 'madde', 'değişik')",12663.210483295226
"('nitelik', 'suç', 'tarih')",12615.638207269989
"('1412', 'cmuk', 'madde')",12611.012898723924
